ファイル名,行番号,差異カラム,Claude値,正解値,差異タイプ,修正要否,説明
MstMissionEventDependency.csv,13,id,mission_event_dependency_event_jig_00001_12_1,162,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,14,id,mission_event_dependency_event_jig_00001_12_2,163,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,15,id,mission_event_dependency_event_jig_00001_12_3,164,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,16,id,mission_event_dependency_event_jig_00001_12_4,165,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,17,id,mission_event_dependency_event_jig_00001_16_1,166,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,18,id,mission_event_dependency_event_jig_00001_16_2,167,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,19,id,mission_event_dependency_event_jig_00001_16_3,168,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,20,id,mission_event_dependency_event_jig_00001_16_4,169,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,21,id,mission_event_dependency_event_jig_00001_16_5,170,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,22,id,mission_event_dependency_event_jig_00001_16_6,171,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,23,id,mission_event_dependency_event_jig_00001_16_7,172,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,24,id,mission_event_dependency_event_jig_00001_27_1,173,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,25,id,mission_event_dependency_event_jig_00001_27_2,174,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,26,id,mission_event_dependency_event_jig_00001_27_3,175,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,27,id,mission_event_dependency_event_jig_00001_27_4,176,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,28,id,mission_event_dependency_event_jig_00001_27_5,177,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,29,id,mission_event_dependency_event_jig_00001_27_6,178,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,30,id,mission_event_dependency_event_jig_00001_27_7,179,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,31,id,mission_event_dependency_event_jig_00001_27_8,180,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,32,id,mission_event_dependency_event_jig_00001_27_9,181,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,33,id,mission_event_dependency_event_jig_00001_27_10,182,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,34,id,mission_event_dependency_event_jig_00001_27_11,183,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,35,id,mission_event_dependency_event_jig_00001_27_12,184,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,36,id,mission_event_dependency_event_jig_00001_27_13,185,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,37,id,mission_event_dependency_event_jig_00001_27_14,186,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,38,id,mission_event_dependency_event_jig_00001_27_15,187,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,39,id,mission_event_dependency_event_jig_00001_27_16,188,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionEventDependency.csv,40,id,mission_event_dependency_event_jig_00001_27_17,189,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,2,id,mission_reward_jig_00001_event_reward_01_1,480,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,3,id,mission_reward_jig_00001_event_reward_02_1,481,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,4,id,mission_reward_jig_00001_event_reward_03_1,482,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,5,id,mission_reward_jig_00001_event_reward_04_1,483,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,6,id,mission_reward_jig_00001_event_reward_05_1,484,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,7,id,mission_reward_jig_00001_event_reward_06_1,485,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,8,id,mission_reward_jig_00001_event_reward_07_1,486,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,9,id,mission_reward_jig_00001_event_reward_08_1,487,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,10,id,mission_reward_jig_00001_event_reward_09_1,488,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,11,id,mission_reward_jig_00001_event_reward_10_1,489,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,12,id,mission_reward_jig_00001_event_reward_11_1,490,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,13,id,mission_reward_jig_00001_event_reward_12_1,491,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,14,id,mission_reward_jig_00001_event_reward_13_1,492,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,15,id,mission_reward_jig_00001_event_reward_14_1,493,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,16,id,mission_reward_jig_00001_event_reward_15_1,494,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,17,id,mission_reward_jig_00001_event_reward_16_1,495,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,18,id,mission_reward_jig_00001_event_reward_17_1,496,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,19,id,mission_reward_jig_00001_event_reward_18_1,497,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,20,id,mission_reward_jig_00001_event_reward_19_1,498,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,21,id,mission_reward_jig_00001_event_reward_20_1,499,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,22,id,mission_reward_jig_00001_event_reward_21_1,500,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,23,id,mission_reward_jig_00001_event_reward_22_1,501,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,24,id,mission_reward_jig_00001_event_reward_23_1,502,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,25,id,mission_reward_jig_00001_event_reward_24_1,503,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,26,id,mission_reward_jig_00001_event_reward_25_1,504,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,27,id,mission_reward_jig_00001_event_reward_26_1,505,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,28,id,mission_reward_jig_00001_event_reward_27_1,506,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,29,id,mission_reward_jig_00001_event_reward_28_1,507,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,30,id,mission_reward_jig_00001_event_reward_29_1,508,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,31,id,mission_reward_jig_00001_event_reward_30_1,509,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,32,id,mission_reward_jig_00001_event_reward_31_1,510,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,33,id,mission_reward_jig_00001_event_reward_32_1,511,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,34,id,mission_reward_jig_00001_event_reward_33_1,512,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,35,id,mission_reward_jig_00001_event_reward_34_1,513,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,36,id,mission_reward_jig_00001_event_reward_35_1,514,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,37,id,mission_reward_jig_00001_event_reward_36_1,515,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,38,id,mission_reward_jig_00001_event_reward_37_1,516,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,39,id,mission_reward_jig_00001_event_reward_38_1,517,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,40,id,mission_reward_jig_00001_event_reward_39_1,518,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,41,id,mission_reward_jig_00001_event_reward_40_1,519,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,42,id,mission_reward_jig_00001_event_reward_41_1,520,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,43,id,mission_reward_jig_00001_event_reward_42_1,521,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,44,id,mission_reward_jig_00001_event_reward_43_1,522,ID採番方式の違い,修正不要,新採番ルール適用の余地あり
MstMissionReward.csv,2,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,3,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,4,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,5,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,6,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,7,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,8,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,9,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,10,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,11,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,12,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,13,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,14,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,15,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,16,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,17,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,18,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,19,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,20,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,21,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,22,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,23,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,24,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,25,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,26,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,27,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,28,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,29,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,30,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,31,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,32,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,33,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,34,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,35,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,36,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,37,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,38,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,39,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,40,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,41,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,42,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,43,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
MstMissionReward.csv,44,備考,地獄楽いいジャン祭,jigいいジャン祭_ミッション,テキスト表記の違い,修正不要,大した問題ではない
