作品_ID,作品名,背景_id,背景一覧登録名称,備考欄
mag,株式会社マジルミエ,koma_background_mag_00001,市街地_怪異差分,
mag,株式会社マジルミエ,koma_background_mag_00002,商店街,
mag,株式会社マジルミエ,koma_background_mag_00003,商店街_怪異差分,
mag,株式会社マジルミエ,koma_background_mag_00004,ビルの内部,
mag,株式会社マジルミエ,koma_background_mag_00005,工事現場,
mag,株式会社マジルミエ,koma_background_mag_00006,工事現場_解体中建物あり,
dos,道産子ギャルはなまらめんこい,koma_background_dos_00001,,
sum,サマータイムレンダ,koma_background_sum_00001,海岸沿いの道路_昼,
sum,サマータイムレンダ,koma_background_sum_00002,海岸沿いの道路_夜,
sum,サマータイムレンダ,koma_background_sum_00003,海辺の街,
sum,サマータイムレンダ,koma_background_sum_00004,海辺の街_堤防,
sum,サマータイムレンダ,koma_background_sum_00005,小早川家の家,
osh,【推しの子】,koma_background_osh_00001,ライブ会場,
osh,【推しの子】,koma_background_osh_00002,ダンススタジオ,
you,幼稚園WARS,koma_background_you_00001,ブラック幼稚園_外観,
you,幼稚園WARS,koma_background_you_00002,ブラック幼稚園_正門前,
you,幼稚園WARS,koma_background_you_00003,ブラック幼稚園_園内,
you,幼稚園WARS,koma_background_you_00004,ブラック幼稚園_園舎,
kim,君のことが大大大大大好きな100人の彼女,koma_background_kim_00001,花園家,
kim,君のことが大大大大大好きな100人の彼女,koma_background_kim_00002,花園家_扉差分,
aya,あやかしトライアングル,koma_background_aya_00001,神社の境内,
aya,あやかしトライアングル,koma_background_aya_00002,神社の境内_本殿あり,
mar,マリッジトキシン,koma_background_mar_00001,輸送船内部,
mar,マリッジトキシン,koma_background_mar_00002,輸送船内部_椅子なし差分,
,,,,
glo,GLOW,koma_background_glo_00001,汎用_住宅街_昼,
glo,GLOW,koma_background_glo_00002,汎用_住宅街_夜,
glo,GLOW,koma_background_glo_00003,汎用_住宅街_夜_破壊,
glo,GLOW,koma_background_glo_00004,汎用_森_昼,
glo,GLOW,koma_background_glo_00005,汎用_森_破壊_昼,
glo,GLOW,koma_background_glo_00006,汎用_森_夜,
glo,GLOW,koma_background_glo_00007,汎用_森_破壊_夜,
glo,GLOW,koma_background_glo_00008,汎用_市街地_昼,
glo,GLOW,koma_background_glo_00009,汎用_市街地_夜,
glo,GLOW,koma_background_glo_00010,汎用_市街地_破壊,
glo,GLOW,koma_background_glo_00011,汎用_学校_廊下,
glo,GLOW,koma_background_glo_00012,汎用_学校_廊下_夜,
glo,GLOW,koma_background_glo_00013,汎用_学校_階段あり廊下,
glo,GLOW,koma_background_glo_00014,汎用_学校_部室あり廊下,
glo,GLOW,koma_background_glo_00015,汎用_住宅街_夕方,
glo,GLOW,koma_background_glo_00016,汎用_倉庫,
glo,GLOW,koma_background_glo_00017,汎用_不穏な背景_赤,超次元バトルなど
glo,GLOW,koma_background_glo_00018,汎用_不穏な背景_青,未制作
glo,GLOW,koma_background_glo_00019,汎用_不穏な背景_緑,未制作
glo,GLOW,koma_background_glo_00020,汎用_不穏な背景_黄,未制作
glo,GLOW,koma_background_glo_00021,汎用_不穏な背景_ノーマル,未制作
glo,GLOW,koma_background_glo_00022,汎用_住宅街_夕方_破壊,
glo,GLOW,koma_background_glo_00023,汎用_コインクエスト,
glo,GLOW,koma_background_glo_00024,汎用_都会の公園_広場,
glo,GLOW,koma_background_glo_00025,汎用_洞窟,
glo,GLOW,koma_background_glo_00026,汎用_洞窟_滝差分,
glo,GLOW,koma_background_glo_00027,汎用_電車内,
glo,GLOW,koma_background_glo_00028,汎用_学校の屋上,
glo,GLOW,koma_background_glo_00029,汎用_学校の屋上_入口差分,
glo,GLOW,koma_background_glo_00030,汎用_レッドカーペット_0.5周年,企画ごとに中のキャラや背景を変更して投入します。その度に採番して別の背景として扱います。0.5周年のもののキャラも決定したら差し替えて実装できればと思います。
glo,GLOW,koma_background_glo_00031,汎用_学校_廊下_クリスマス差分,
glo,GLOW,koma_background_glo_00032,汎用_市街地_夜_イルミネーション,
glo,GLOW,koma_background_glo_00033,汎用_市街地_夜_イルミネーション_ツリーあり,
glo,GLOW,koma_background_glo_00034,汎用_荒野,
glo,GLOW,koma_background_glo_00035,汎用_市街地_破壊_晴れ差分,
glo,GLOW,koma_background_glo_00036,汎用_レッドカーペット_コイン増量,
glo,GLOW,koma_background_glo_00037,汎用_市街地_破壊2,
glo,GLOW,koma_background_glo_00038,汎用_学園祭ライブステージ,
glo,GLOW,koma_background_glo_00039,汎用_学校の体育館ステージ,
glo,GLOW,koma_background_glo_00040,汎用_BOXガシャ用背景,
